id_zona,nom_zona,id_ciudad,barrio_referencia,latitud_centroide,longitud_centroide,nivel_trafico_prom,tip_zona,distancia_bodega_km
133,Región Andina,MZL,La Enea,6.46838,-74.26419,38.0,Regional,91.76
13,Región Caribe,SMR,Mamatoco,6.46838,-77.03116,35.0,Local,52.28
268,Región Caribe,BAQ,El Prado,7.83389,-77.03116,16.4,Regional,82.0
118,Región Caribe,CTG,Bocagrande,5.20856,-74.95472,26.0,Regional,15.1
280,Región Caribe,CTG,Getsemaní,10.15031,-74.26419,26.0,Regional,71.74
257,Región Andina,BGA,San Alonso,5.20856,-74.73584,28.5,Regional,55.27
138,Región Andina,MZL,El Cable,10.15031,-75.87877,38.0,Local,21.05
235,Región Caribe,BAQ,Boston,6.46838,-74.73584,16.4,Regional,65.91
134,Región Andina,PER,Pinares,6.46838,-75.87877,33.5,Regional,92.23
255,Región Caribe,SMR,Bastidas,5.6561,-74.26419,35.0,Local,76.9
51,Región Andina,BGA,San Alonso,4.73245,-77.03116,28.5,Regional,32.35
94,Región Caribe,CTG,Centro Histórico,8.79577,-74.26419,26.0,Regional,92.28
256,Región Andina,CAL,Ciudad Jardín,7.83389,-74.73584,20.6,Local,65.21
211,Región Andina,MDE,Laureles,5.20856,-77.03116,20.7,Regional,75.01
232,Región Andina,BOG,Teusaquillo,10.15031,-73.26022,18.9,Local,10.12
127,Región Andina,CUC,Caobos,10.15031,-75.87877,31.0,Local,79.58
183,Región Caribe,SMR,Centro Histórico,3.8801,-73.26022,35.0,Local,95.68
295,Región Andina,PER,Pinares,10.15031,-75.87877,33.5,Local,66.79
68,Región Caribe,SMR,Mamatoco,3.8801,-73.9614,35.0,Regional,23.07
82,Región Andina,CAL,El Peñón,5.6561,-74.26419,20.6,Regional,42.36
77,Región Caribe,SMR,Mamatoco,10.15031,-77.03116,35.0,Local,41.79
55,Región Andina,MZL,La Enea,5.6561,-75.87877,38.0,Local,2.4
181,Región Andina,BOG,Usaquén,7.83389,-74.95472,18.9,Local,83.55
156,Región Caribe,SMR,Bastidas,8.79577,-72.47417,35.0,Regional,48.13
239,Región Andina,CAL,Obrero,5.6561,-73.26022,20.6,Local,50.26
106,Región Caribe,BAQ,El Recreo,10.15031,-77.03116,16.4,Regional,59.53
36,Región Caribe,CTG,Manga,8.79577,-77.03116,26.0,Regional,60.22
89,Región Andina,BOG,Usaquén,10.98778,-73.26022,18.9,Local,20.35
97,Región Caribe,CTG,Centro Histórico,3.8801,-77.03116,26.0,Local,86.94
112,Región Caribe,BAQ,Boston,5.6561,-74.26419,16.4,Local,64.92
96,Región Caribe,BAQ,El Recreo,5.6561,-73.9614,16.4,Regional,66.46
41,Región Andina,MZL,La Enea,4.73245,-75.87877,38.0,Regional,53.77
